IDNUM;OTEXE;NREG;ZENVI;SUTOT;CHAFF;PRODV;PRODH;PRODT;PRODA;RESEX;CHRAM;CHRSE;CHRPH;CHRAC;CHRAG;CHRPV;CHRCA;ELECTQUA;ENTBT;ENTMT;LFERM;LMATE;ASSRE;ASSAU;TVANR;TXPRO;TAXES;AIMTX;FPERS;CHSOC;CFINL;CAGR4
6168;50;76;0;11;131286;92163;0;1459;14660;25264;0;11297;18537;729;0;872;4724;3500;340;2870;11265;0;1301;5104;0;578;860;1829;0;0;468;0
6184;50;76;0;1;337193.76;0;0;314945.48;0;28037.32;0;0;19979.47;0;0;0;11501.18;56500;4967.79;6523.31;8068;1451.87;0;4157.23;0;0;0;4673.97;27726.27;6413.03;969.48;0
6185;16;76;0;10;174491.89;50451.89;117080.55;0;0;31015.14;0;25622.26;17823.02;0;0;0;4123.5;109367;4590.79;7681.7;11579;2314.91;3326.81;5297.76;0;493.17;0;303;10379.68;1327.45;327.78;2288.22
6186;83;76;0;18;441829;-3523;0;0;422551;47775;0;16419;8004;175949;27623;26811;7783;710933;19;7202;16620;0;1823;6280;0;924;0;2882;0;0;3108;86
6242;15;76;0;17;82581.39;0;0;74081.39;0;-2326.23;0;0;8919.35;0;0;0;958.1;3886;0;318.26;0;82.42;0;1492.32;0;253;1730;0;32968.83;4714.34;0;0
6440;83;76;0;26;175747;0;0;144411;0;54652;0;0;3773;0;0;0;1511;150;0;10569;11357;0;1548;1868;0;14;82;527;24735;908;112.45;17
6441;15;76;0;15;246482;56453;0;67966;0;108748;0;6462;7469;0;0;0;9419;106842;318;4042;14436;119;133;11732;0;139;219;669;0;0;2175;766
6513;16;76;0;19;134449.56;-800;0;0;128879.56;17408.67;0;4573.25;741.16;34074.62;9434;5325.23;10152.98;7307;3321.49;12486.4;4919.77;460;0;8717.04;0;552.59;1422;451.96;0;0;2791.42;583.01
6641;15;76;0;28;130713.73;52442.62;0;297;73366.87;14516.77;2020.03;8755.05;4502.01;46775.06;0;503.99;2975.75;0;0;9933.72;2700;436.06;3581.38;4029.17;0;228.18;0;362;0;0;225.23;32.65
6643;45;76;0;18;124252;17790;0;120567;0;91719;167;0;5330;0;0;0;11703;11948;528;5932;9300;0;3586;4738;0;0;0;592;11354;769;139;0
6644;48;76;0;12;90628;89948;0;0;0;54689;2335;12137;248;0;0;0;6114;12030;132;3135;16554;64;8203;3991;0;304;292;865;0;0;950;913
6698;48;76;0;21;223684;67008;0;239202;0;163443;0;3257;10440;0;0;0;3723;2718;1315;7361;23491;871;9072;4086;0;0;0;696;42212;1913;1125;385
6701;83;76;0;19;175359;9318;0;0;148730;11206;0;3129;6942;16764;4267;5103;9405;25900;1095;12107;50060;332;0;14334;0;367;0;1774;19672;816;5552;2698
6744;37;76;0;13;152656;193543;0;0;0;65758;0;15212;21075;0;0;0;8571;1600;748;8657;17854;0;2903;6562;0;2403;0;442;0;0;1289;0
6745;37;76;0;11;134243.28;124494.71;0;0;0;39051.49;5229.7;11964.51;14307.09;0;0;0;5645.76;2405;750;8198.29;17415.82;0;938.39;2852.74;0;1037.63;19;427;0;0;0;23.25
6857;15;76;0;13;232818.51;204238.54;0;0;0;82648.51;1824.6;7170.69;46621.05;0;0;0;13651.87;0;0;10769.27;23436.14;0;3303.91;10240.66;0;2296.91;0;834.76;0;0;4045.54;189.59
6858;15;76;0;12;167458;0;165657;0;0;-81573.19;0;48711;2329;0;0;0;0;78119;0;5713;13738;3914;93;20555;0;0;2488;392;46103;11699;250;0
7060;37;76;0;4;46651;8415;27708;0;23343;53802;0;2639;0;0;0;274;1815;12400;449;7400;0;0;0;2920;0;0;0;2378;0;0;0;0
7084;50;76;0;28;121883;46209;0;0;11948;27857.84;0;9870;4491;15844;0;3186;3755;20677;547;4112;7058;0;1128;6654;0;714;1451;592;0;0;4528;863
7086;48;76;0;26;9191;-500;0;0;3091;9864;0;0;0;3283;4045;635;0;2500;112;393;6680;0;0;4232;0;0;100;121;0;0;304;304
7090;48;76;0;28;647988;647988;0;0;0;34023;0;3573;21235;0;0;0;0;37855;1772;20229;39543;0;8550;4145;0;0;0;8435;259367;25882;1156;0
7092;48;76;0;30;31570.33;30213.16;0;0;-347.51;-4468.78;0;6194.31;5397.5;0;51.54;0;2135.45;10560;0;796.65;6862.85;0;0;2882.08;0;275.47;257.01;250.5;0;0;0;0
7094;74;76;0;30;165259;229553;0;0;0;20321.82;0;18195;12495;0;0;0;32727;2820;0;7405;14785;0;3211;5690;0;976;1158;4976;0;0;1793;1083
7096;45;76;0;17;29148;0;0;0;7620;28236;0;0;0;0;6773;110;0;3700;0;0;3150;223;0;1497;0;183;0;892;0;0;0;0
7098;37;76;0;10;772279.21;772279.21;0;0;0;174323.75;0;0;19225;0;0;0;0;49850;0;11764;63735;0;0;409.08;0;0;0;0;86926;17774;1052.31;0
